,Unnamed: 0,Operateur,X,Y,2G,3G,4G
41071,41071,Bouygue,694663.0,6807808.0,1,1,1
41072,41072,SFR,694663.0,6807808.0,1,1,1
41073,41073,Orange,694681.0,6813263.0,1,1,1
41074,41074,Free,694684.0,6813284.0,0,1,1
41075,41075,Orange,694685.0,6176680.0,1,1,1
41076,41076,Bouygue,694711.0,6857326.0,1,1,0
41077,41077,Bouygue,694712.0,6758495.0,1,1,0
41078,41078,Free,694713.0,6758496.0,0,1,1
41079,41079,Free,694733.0,6229624.0,0,1,1
41080,41080,SFR,694737.0,6229635.0,1,1,1
41081,41081,Orange,694740.0,6229645.0,1,1,0
41082,41082,Free,694760.0,6781634.0,0,1,1
41083,41083,Orange,694761.0,6781633.0,1,1,1
41084,41084,Free,694773.0,6979172.0,0,1,1
41085,41085,Orange,694775.0,6979173.0,1,1,1
41086,41086,Free,694790.0,7037127.0,0,1,1
41087,41087,Bouygue,694795.0,6229657.0,1,1,1
41088,41088,Orange,694797.0,6701530.0,1,1,1
41089,41089,Orange,694807.0,6904247.0,1,1,0
41090,41090,Orange,694847.0,6700518.0,1,1,1
41091,41091,Free,694847.0,6700519.0,0,1,0
41092,41092,SFR,694887.0,6942163.0,1,1,0
41093,41093,Bouygue,694912.0,6982163.0,1,1,1
41094,41094,Bouygue,694926.0,6942155.0,1,1,0
41095,41095,Free,694927.0,6942156.0,0,1,0
41096,41096,Orange,694929.0,6942156.0,1,1,0
41097,41097,Orange,694930.0,7032467.0,1,1,1
41098,41098,Orange,694931.0,7037279.0,1,1,1
41099,41099,Orange,694940.0,7041779.0,0,1,1
41100,41100,Bouygue,694948.0,7037207.0,1,1,1
41101,41101,SFR,694954.0,7037205.0,1,1,0
41102,41102,SFR,694963.0,6301673.0,0,1,0
41103,41103,Orange,694964.0,6301673.0,1,1,0
41104,41104,Free,695004.0,6301673.0,0,1,0
41105,41105,SFR,695032.0,6982155.0,1,1,1
41106,41106,Bouygue,695039.0,6921109.0,1,1,0
41107,41107,SFR,695088.0,6921039.0,1,1,0
41108,41108,Orange,695091.0,6218955.0,1,1,0
